Depth;qc;fs
0,025;2,824;0,025
0,075;4,574;0,039
0,125;5,748;0,045
0,175;6,848;0,02
0,225;7,897;0,027
0,275;9,572;0,034
0,325;10,647;0,044
0,375;11,771;0,055
0,425;13,371;0,075
0,475;13,32;0,081
0,525;14,67;0,096
0,575;15,944;0,113
0,625;15,344;0,076
0,675;15,168;0,094
0,725;15,418;0,109
0,775;14,768;0,11
0,825;13,192;0,111
0,875;12,467;0,101
0,925;12,616;0,106
0,975;11,066;0,125
1,025;11,115;0,08
1,075;8,439;0,11
1,125;6,364;0,115
1,175;3,588;0,102
1,225;5,2;0,086
1,275;6,812;0,07
1,325;8,662;0,056
1,375;8,536;0,059
1,425;8,461;0,055
1,475;8,261;0,06
1,525;8,185;0,061
1,575;8,96;0,059
1,625;8,784;0,047
1,675;9,209;0,05
1,725;8,908;0,053
1,775;8,658;0,057
1,825;8,957;0,058
1,875;9,282;0,053
1,925;9,431;0,05
1,975;9,206;0,052
2,025;9,005;0,056
2,075;8,505;0,058
2,125;8,054;0,058
2,175;7,779;0,058
2,225;7,328;0,057
2,275;6,828;0,055
2,325;7,053;0,056
2,375;8,277;0,067
2,425;9,402;0,052
2,475;10,377;0,049
2,525;10,776;0,054
2,575;11,026;0,061
2,625;10,85;0,054
2,675;10,9;0,063
2,725;10,949;0,065
2,775;10,899;0,064
2,825;10,423;0,062
2,875;10,173;0,066
2,925;9,447;0,068
2,975;8,246;0,069
3,025;6,846;0,067
3,075;5,371;0,064
3,125;5,145;0,06
3,175;6,495;0,055
3,225;5,419;0,044
3,275;4,069;0,039
3,325;2,143;0,04
3,375;1,168;0,05
3,425;1,092;0,044
3,475;2,417;0,036
3,525;1,916;0,026
3,575;1,191;0,036
3,625;1,115;0,035
3,675;0,94;0,026
3,725;1,739;0,026
3,775;2,639;0,033
3,825;1,889;0,02
3,875;0,988;0,008
3,925;0,863;0,015
3,975;0,787;0,025
4,025;0,762;0,027
4,075;0,761;0,037
4,125;0,761;0,051
4,175;0,76;0,06
4,225;0,835;0,061
4,275;0,909;0,062
4,325;1,134;0,068
4,375;1,033;0,084
